model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T6R-sparse-h1,OK,amihud,5.644797534027795e-05,9.48473942647697e-05,0.5951452412356372,0.5517484282035605,66800,252,478,0.003805976194667049,True,,sparse=66800
T6R-sparse-h1,OK,foreign_holding_pct,-0.0002994225030132232,0.0006704459093563441,-0.4466020283436157,0.6551638947657761,66800,252,478,0.003805976194667049,True,,sparse=66800
T6R-sparse-h2,OK,abn_attention_weekend,-8.552453260622786e-05,0.00020469568489805067,-0.417813070406558,0.6760851552548597,66631,252,477,0.0036176155377917185,True,,sparse=66631
T6R-sparse-h2,OK,att_zero_base,0.0005446033675155854,0.00035681240496820315,1.5263016642151692,0.12693955393634337,66631,252,477,0.0036176155377917185,True,,sparse=66631
T6R-sparse-h2,OK,ret_lag1,4.4466057711181405e-05,0.00036781557531173533,0.12089226421011404,0.9037767381002135,66631,252,477,0.0036176155377917185,True,,sparse=66631
T6R-sparse-h2,OK,ret_lag4,-0.0004146676278357744,0.0004382140291452502,-0.9462673494150705,0.3440157121643934,66631,252,477,0.0036176155377917185,True,,sparse=66631
T6R-sparse-h2,OK,ret_lag25,0.0007629107224347786,0.0004337605621256785,1.758829153798753,0.07861117235985748,66631,252,477,0.0036176155377917185,True,,sparse=66631
T6R-sparse-h2,OK,log_market_cap,-0.00783388484088099,0.0012401808885142136,-6.316727594686851,2.688584910259806e-10,66631,252,477,0.0036176155377917185,True,,sparse=66631
T6R-sparse-h2,OK,turnover,-0.000510504069741542,0.0004047120009669075,-1.2614008690670997,0.20716892082627703,66631,252,477,0.0036176155377917185,True,,sparse=66631
T6R-sparse-h2,OK,amihud,-0.00014593887312958098,0.00032661672130160287,-0.44681996851844824,0.6550065207855895,66631,252,477,0.0036176155377917185,True,,sparse=66631
T6R-sparse-h2,OK,foreign_holding_pct,-0.00019843261394866357,0.0006626964753462491,-0.29943212515953926,0.7646112979818231,66631,252,477,0.0036176155377917185,True,,sparse=66631
T6R-sparse-h3,OK,abn_attention_weekend,0.00019244726973421093,0.00020043445730541168,0.9601506264013763,0.3369829440339174,66458,251,476,0.004258378998594492,True,,sparse=66458
T6R-sparse-h3,OK,att_zero_base,0.00023092698819172369,0.0003621464601161424,0.6376618678466831,0.5236960343798573,66458,251,476,0.004258378998594492,True,,sparse=66458
T6R-sparse-h3,OK,ret_lag1,-0.001135328781497208,0.0003916917584978144,-2.8985260906467167,0.003750450555942031,66458,251,476,0.004258378998594492,True,,sparse=66458
T6R-sparse-h3,OK,ret_lag4,0.00045740116673088834,0.00041625339456370804,1.098852700553491,0.2718363459957547,66458,251,476,0.004258378998594492,True,,sparse=66458
T6R-sparse-h3,OK,ret_lag25,0.0005698315515234937,0.00045492576299294244,1.2525814053145499,0.21036254235058127,66458,251,476,0.004258378998594492,True,,sparse=66458
T6R-sparse-h3,OK,log_market_cap,-0.008218929714040556,0.0012904377467928636,-6.369102062046104,1.9139001494750119e-10,66458,251,476,0.004258378998594492,True,,sparse=66458
T6R-sparse-h3,OK,turnover,-0.00036660333747155164,0.00045963004674892053,-0.7976052481003574,0.42510248615855994,66458,251,476,0.004258378998594492,True,,sparse=66458
T6R-sparse-h3,OK,amihud,-0.0001440257235425497,2.5825499088429558e-05,-5.576880549312469,2.4582966329234068e-08,66458,251,476,0.004258378998594492,True,,sparse=66458
T6R-sparse-h3,OK,foreign_holding_pct,-0.0001806934743240471,0.0006755595939165819,-0.26747229400809774,0.7891063827910998,66458,251,476,0.004258378998594492,True,,sparse=66458
T6R-sparse-h4,OK,abn_attention_weekend,9.795383381613467e-05,0.00016978059775620696,0.5769436267198771,0.5639795193603612,66283,251,475,0.003531156077469011,True,,sparse=66283
T6R-sparse-h4,OK,att_zero_base,7.315447709727033e-05,0.00036001432457076634,0.20319879544929242,0.8389802850130239,66283,251,475,0.003531156077469011,True,,sparse=66283
T6R-sparse-h4,OK,ret_lag1,0.0001726430340260388,0.0003976754969633893,0.4341304288152624,0.66419515895182,66283,251,475,0.003531156077469011,True,,sparse=66283
T6R-sparse-h4,OK,ret_lag4,0.0006582841660680007,0.0003964477144316217,1.6604564539154125,0.09682744417934308,66283,251,475,0.003531156077469011,True,,sparse=66283
T6R-sparse-h4,OK,ret_lag25,0.0005733310407729816,0.0004250927674063851,1.34871982007843,0.17743163629836056,66283,251,475,0.003531156077469011,True,,sparse=66283
T6R-sparse-h4,OK,log_market_cap,-0.00837831275400617,0.001264876024542223,-6.6238213006198805,3.5272451626156e-11,66283,251,475,0.003531156077469011,True,,sparse=66283
T6R-sparse-h4,OK,turnover,-0.0010371738355349311,0.00032427973427335606,-3.1983923937122483,0.0013826176020694803,66283,251,475,0.003531156077469011,True,,sparse=66283
T6R-sparse-h4,OK,amihud,-0.00028754568251077934,0.0001910470911728709,-1.5051036932595363,0.13230223796344465,66283,251,475,0.003531156077469011,True,,sparse=66283
T6R-sparse-h4,OK,foreign_holding_pct,-0.00015187481997549777,0.0006508517092111006,-0.2333478084579139,0.8154920659467815,66283,251,475,0.003531156077469011,True,,sparse=66283
T6R-sparse-h5,OK,abn_attention_weekend,0.00013929419601745038,0.00021560037501992994,0.646075852162011,0.5182325004747332,66122,251,474,0.0027176834342022005,True,,sparse=66122
T6R-sparse-h5,OK,att_zero_base,0.00043760730872226397,0.00035244535990403036,1.241631635727657,0.21437695762520126,66122,251,474,0.0027176834342022005,True,,sparse=66122
T6R-sparse-h5,OK,ret_lag1,-0.00024743835553402805,0.00039359941498941215,-0.6286552929472321,0.5295769486542183,66122,251,474,0.0027176834342022005,True,,sparse=66122
T6R-sparse-h5,OK,ret_lag4,0.0006263323680245248,0.0003629060084176074,1.7258804029052732,0.08437365506392158,66122,251,474,0.0027176834342022005,True,,sparse=66122
T6R-sparse-h5,OK,ret_lag25,0.0004413557162260505,0.0004096529119125393,1.0773894274680018,0.281310300039171,66122,251,474,0.0027176834342022005,True,,sparse=66122
T6R-sparse-h5,OK,log_market_cap,-0.007891390693804644,0.0012439252631760418,-6.343942781301841,2.254172404292376e-10,66122,251,474,0.0027176834342022005,True,,sparse=66122
T6R-sparse-h5,OK,turnover,-0.000498738123587954,0.0003201116123931027,-1.558013218762882,0.119234954180796,66122,251,474,0.0027176834342022005,True,,sparse=66122
T6R-sparse-h5,OK,amihud,-0.00027232637707230966,0.00019209677147108864,-1.417652025001867,0.15629714810963868,66122,251,474,0.0027176834342022005,True,,sparse=66122
T6R-sparse-h5,OK,foreign_holding_pct,-0.00012751353203532877,0.000640018248256896,-0.19923421305972874,0.8420801571818144,66122,251,474,0.0027176834342022005,True,,sparse=66122
T6R-sparse-h6,OK,abn_attention_weekend,0.00035124032061328365,0.00019232733773066505,1.8262631030912524,0.06781520907089589,65956,251,473,0.003361144997076848,True,,sparse=65956
T6R-sparse-h6,OK,att_zero_base,0.0005269436854355505,0.0003874610850182411,1.3599912502457965,0.17383739340662263,65956,251,473,0.003361144997076848,True,,sparse=65956
T6R-sparse-h6,OK,ret_lag1,0.0003504600045528164,0.00035227145534704016,0.9948577985336926,0.31980912121280536,65956,251,473,0.003361144997076848,True,,sparse=65956
T6R-sparse-h6,OK,ret_lag4,4.976045031014533e-05,0.00036024990148530187,0.13812758894585167,0.890140008336445,65956,251,473,0.003361144997076848,True,,sparse=65956
T6R-sparse-h6,OK,ret_lag25,0.00031647136336446696,0.0004011475693540032,0.7889150715137164,0.43016451376677,65956,251,473,0.003361144997076848,True,,sparse=65956
T6R-sparse-h6,OK,log_market_cap,-0.008252949356781074,0.001262244260225489,-6.538314030682743,6.267364405232456e-11,65956,251,473,0.003361144997076848,True,,sparse=65956
T6R-sparse-h6,OK,turnover,0.00018495711165264863,0.0003361631416141631,0.5502004495928238,0.5821837793650384,65956,251,473,0.003361144997076848,True,,sparse=65956
T6R-sparse-h6,OK,amihud,0.00027212905176502637,0.0001121593757795651,2.4262710974770507,0.015257562615268006,65956,251,473,0.003361144997076848,True,,sparse=65956
T6R-sparse-h6,OK,foreign_holding_pct,-0.0002621412845920424,0.0006473349482742962,-0.40495463019704736,0.6855121888137217,65956,251,473,0.003361144997076848,True,,sparse=65956
T6R-sparse-h7,OK,abn_attention_weekend,-0.00010458069125553001,0.00017815936283587262,-0.5870064283507448,0.5572014261143869,65796,251,472,0.0030595201367470404,True,,sparse=65796
T6R-sparse-h7,OK,att_zero_base,0.0006763691970854023,0.00042379619121708946,1.5959775267044163,0.11049866750882309,65796,251,472,0.0030595201367470404,True,,sparse=65796
T6R-sparse-h7,OK,ret_lag1,-6.112430569814141e-05,0.00039001486381840835,-0.15672301588639195,0.875463633438462,65796,251,472,0.0030595201367470404,True,,sparse=65796
