ticker,first_date,last_date,n_days,n_adjustments,min_adj_factor,n_missing_close,n_missing_inst,adjustment_method,adjustment_verified
2611,2014-01-02,2025-03-31,2742,9,0.6115241978055937,0,649,backward from TaiwanStockDividendResult before/after reference price,True
2616,2014-01-02,2025-03-31,2742,12,0.5202270852295039,1,459,backward from TaiwanStockDividendResult before/after reference price,True
2701,2014-01-02,2025-03-31,2742,12,0.6407276968819042,4,856,backward from TaiwanStockDividendResult before/after reference price,True
2702,2014-01-02,2025-03-31,2742,7,0.5139851582642698,5,839,backward from TaiwanStockDividendResult before/after reference price,True
2704,2014-01-02,2025-03-31,2742,9,0.8400628538094914,0,335,backward from TaiwanStockDividendResult before/after reference price,True
2705,2014-01-02,2025-03-31,2735,3,1.0,0,398,backward from TaiwanStockDividendResult before/after reference price,True
2706,2014-01-02,2025-03-31,2742,12,0.5972506239289924,0,521,backward from TaiwanStockDividendResult before/after reference price,True
2707,2014-01-02,2025-03-31,2742,15,0.46412310443612037,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2712,2014-01-02,2025-03-31,2742,8,0.8524931425428055,269,1315,backward from TaiwanStockDividendResult before/after reference price,True
2722,2014-01-02,2025-03-31,2742,13,0.5942018698814227,259,1117,backward from TaiwanStockDividendResult before/after reference price,True
2723,2014-01-02,2025-03-31,2742,13,0.593886996582982,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2727,2014-01-02,2025-03-31,2742,12,0.5794721311387319,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2762,2024-01-24,2025-03-31,281,5,0.8579959089032362,0,55,backward from TaiwanStockDividendResult before/after reference price,True
2801,2014-01-02,2025-03-31,2742,12,0.4873157655542895,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2812,2014-01-02,2025-03-31,2742,18,0.40937528826148445,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2816,2014-01-02,2025-03-31,2742,11,0.6301695125225766,0,354,backward from TaiwanStockDividendResult before/after reference price,True
2820,2014-01-02,2025-03-31,2742,12,0.5274594049353846,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2832,2014-01-02,2025-03-31,2742,13,0.728747417921055,0,335,backward from TaiwanStockDividendResult before/after reference price,True
2834,2014-01-02,2025-03-31,2742,12,0.4825924443110063,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2836,2014-01-02,2025-03-31,2742,14,0.5275700844492865,0,313,backward from TaiwanStockDividendResult before/after reference price,True
2838,2014-01-02,2025-03-31,2742,12,0.4183068745925268,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2845,2014-01-02,2025-03-31,2742,12,0.44722801163688236,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2849,2014-01-02,2025-03-31,2742,12,0.6045684399429649,2,439,backward from TaiwanStockDividendResult before/after reference price,True
2901,2014-01-02,2025-03-31,2742,12,0.8536712507899384,17,1345,backward from TaiwanStockDividendResult before/after reference price,True
