kind,ticker,status,n_rows,first,last
inst,2471,MISSING,0,,
inst,2480,MISSING,0,,
inst,3029,MISSING,0,,
inst,4994,MISSING,0,,
inst,5203,MISSING,0,,
inst,6112,MISSING,0,,
inst,6183,MISSING,0,,
inst,2616,MISSING,0,,
inst,6505,MISSING,0,,
inst,8926,MISSING,0,,
inst,9908,MISSING,0,,
inst,9918,MISSING,0,,
inst,9926,MISSING,0,,
inst,9931,MISSING,0,,
inst,9937,MISSING,0,,
inst,2701,MISSING,0,,
inst,2702,MISSING,0,,
inst,2704,MISSING,0,,
inst,2705,MISSING,0,,
inst,2706,MISSING,0,,
inst,2707,MISSING,0,,
inst,2712,MISSING,0,,
inst,2722,MISSING,0,,
inst,2723,MISSING,0,,
inst,2727,MISSING,0,,
inst,2801,MISSING,0,,
inst,2812,MISSING,0,,
inst,2816,MISSING,0,,
inst,2820,MISSING,0,,
inst,2832,MISSING,0,,
inst,2834,MISSING,0,,
inst,2836,MISSING,0,,
inst,2838,MISSING,0,,
inst,2845,MISSING,0,,
inst,2849,MISSING,0,,
inst,2901,MISSING,0,,
inst,2903,MISSING,0,,
inst,2905,MISSING,0,,
inst,2906,MISSING,0,,
inst,2908,MISSING,0,,
inst,2910,MISSING,0,,
inst,2911,MISSING,0,,
inst,2912,MISSING,0,,
inst,2913,MISSING,0,,
inst,2915,MISSING,0,,
inst,3130,MISSING,0,,
inst,6165,MISSING,0,,
inst,6614,MISSING,0,,
inst,6689,MISSING,0,,
inst,6902,MISSING,0,,
inst,6906,MISSING,0,,
inst,7721,MISSING,0,,
inst,7722,MISSING,0,,
inst,7765,MISSING,0,,
inst,8454,MISSING,0,,
dividend,1101,MISSING,0,,
dividend,1102,MISSING,0,,
dividend,1103,MISSING,0,,
dividend,1104,MISSING,0,,
dividend,1108,MISSING,0,,
dividend,1109,MISSING,0,,
dividend,1110,MISSING,0,,
dividend,1201,MISSING,0,,
dividend,1203,MISSING,0,,
dividend,1210,MISSING,0,,
dividend,1213,MISSING,0,,
dividend,1215,MISSING,0,,
dividend,1216,MISSING,0,,
dividend,1217,MISSING,0,,
dividend,1218,MISSING,0,,
dividend,1219,MISSING,0,,
dividend,1220,MISSING,0,,
dividend,1301,MISSING,0,,
dividend,1303,MISSING,0,,
dividend,1304,MISSING,0,,
dividend,1305,MISSING,0,,
dividend,1307,MISSING,0,,
dividend,1308,MISSING,0,,
dividend,1309,MISSING,0,,
dividend,1310,MISSING,0,,
dividend,1312,MISSING,0,,
dividend,1313,MISSING,0,,
dividend,1319,MISSING,0,,
dividend,1338,MISSING,0,,
dividend,1339,MISSING,0,,
dividend,1512,MISSING,0,,
dividend,1521,MISSING,0,,
dividend,1522,MISSING,0,,
dividend,1524,MISSING,0,,
dividend,1525,MISSING,0,,
dividend,1533,MISSING,0,,
dividend,1536,MISSING,0,,
dividend,1402,MISSING,0,,
dividend,1409,MISSING,0,,
dividend,1410,MISSING,0,,
dividend,1413,MISSING,0,,
dividend,1414,MISSING,0,,
dividend,1417,MISSING,0,,
dividend,1418,MISSING,0,,
dividend,1419,MISSING,0,,
dividend,1423,MISSING,0,,
dividend,1434,MISSING,0,,
dividend,1432,MISSING,0,,
dividend,1598,MISSING,0,,
dividend,1736,MISSING,0,,
dividend,2762,MISSING,0,,
dividend,4536,MISSING,0,,
dividend,5306,MISSING,0,,
dividend,6670,MISSING,0,,
dividend,6768,MISSING,0,,
dividend,6890,MISSING,0,,
dividend,6965,MISSING,0,,
dividend,1471,MISSING,0,,
dividend,1582,MISSING,0,,
dividend,2059,MISSING,0,,
dividend,2308,MISSING,0,,
dividend,2313,MISSING,0,,
dividend,2316,MISSING,0,,
dividend,2327,MISSING,0,,
dividend,2328,MISSING,0,,
dividend,2355,MISSING,0,,
dividend,2367,MISSING,0,,
dividend,1503,MISSING,0,,
dividend,1504,MISSING,0,,
dividend,1506,MISSING,0,,
dividend,1513,MISSING,0,,
dividend,1514,MISSING,0,,
dividend,1515,MISSING,0,,
dividend,1517,MISSING,0,,
dividend,1519,MISSING,0,,
dividend,1526,MISSING,0,,
dividend,1527,MISSING,0,,
dividend,1603,MISSING,0,,
dividend,1604,MISSING,0,,
dividend,1605,MISSING,0,,
dividend,1608,MISSING,0,,
dividend,1609,MISSING,0,,
dividend,1611,MISSING,0,,
dividend,1612,MISSING,0,,
dividend,1614,MISSING,0,,
dividend,1615,MISSING,0,,
dividend,1616,MISSING,0,,
dividend,1707,MISSING,0,,
dividend,1720,MISSING,0,,
dividend,1731,MISSING,0,,
dividend,1733,MISSING,0,,
dividend,1734,MISSING,0,,
dividend,1752,MISSING,0,,
dividend,1760,MISSING,0,,
dividend,1762,MISSING,0,,
dividend,1783,MISSING,0,,
dividend,1786,MISSING,0,,
dividend,1708,MISSING,0,,
dividend,1709,MISSING,0,,
dividend,1710,MISSING,0,,
dividend,1711,MISSING,0,,
dividend,1712,MISSING,0,,
dividend,1713,MISSING,0,,
dividend,1714,MISSING,0,,
dividend,1717,MISSING,0,,
dividend,1718,MISSING,0,,
dividend,1721,MISSING,0,,
dividend,1802,MISSING,0,,
dividend,1806,MISSING,0,,
dividend,1809,MISSING,0,,
dividend,1810,MISSING,0,,
dividend,1817,MISSING,0,,
dividend,1903,MISSING,0,,
dividend,1904,MISSING,0,,
dividend,1905,MISSING,0,,
dividend,1906,MISSING,0,,
dividend,1907,MISSING,0,,
dividend,1909,MISSING,0,,
dividend,6790,MISSING,0,,
dividend,2002,MISSING,0,,
dividend,2006,MISSING,0,,
dividend,2007,MISSING,0,,
dividend,2008,MISSING,0,,
dividend,2009,MISSING,0,,
dividend,2010,MISSING,0,,
dividend,2012,MISSING,0,,
dividend,2013,MISSING,0,,
dividend,2014,MISSING,0,,
dividend,2015,MISSING,0,,
dividend,2062,MISSING,0,,
dividend,3557,MISSING,0,,
dividend,6671,MISSING,0,,
dividend,6754,MISSING,0,,
dividend,6807,MISSING,0,,
dividend,8464,MISSING,0,,
dividend,8482,MISSING,0,,
dividend,9911,MISSING,0,,
dividend,9924,MISSING,0,,
dividend,9934,MISSING,0,,
dividend,2072,MISSING,0,,
dividend,3708,MISSING,0,,
dividend,5292,MISSING,0,,
dividend,6581,MISSING,0,,
dividend,6641,MISSING,0,,
dividend,6869,MISSING,0,,
dividend,6873,MISSING,0,,
dividend,6887,MISSING,0,,
dividend,6923,MISSING,0,,
dividend,6944,MISSING,0,,
dividend,2101,MISSING,0,,
dividend,2102,MISSING,0,,
dividend,2103,MISSING,0,,
dividend,2104,MISSING,0,,
dividend,2105,MISSING,0,,
dividend,2106,MISSING,0,,
dividend,2107,MISSING,0,,
dividend,2108,MISSING,0,,
dividend,2109,MISSING,0,,
dividend,2114,MISSING,0,,
dividend,2208,MISSING,0,,
dividend,2601,MISSING,0,,
dividend,2603,MISSING,0,,
dividend,2605,MISSING,0,,
dividend,2606,MISSING,0,,
dividend,2607,MISSING,0,,
dividend,2608,MISSING,0,,
dividend,2609,MISSING,0,,
dividend,2610,MISSING,0,,
dividend,2611,MISSING,0,,
dividend,2302,MISSING,0,,
dividend,2303,MISSING,0,,
dividend,2329,MISSING,0,,
dividend,2330,MISSING,0,,
dividend,2337,MISSING,0,,
dividend,2338,MISSING,0,,
dividend,2340,MISSING,0,,
dividend,2342,MISSING,0,,
dividend,2344,MISSING,0,,
dividend,2351,MISSING,0,,
dividend,2312,MISSING,0,,
dividend,2317,MISSING,0,,
dividend,2354,MISSING,0,,
dividend,2359,MISSING,0,,
dividend,2360,MISSING,0,,
dividend,2373,MISSING,0,,
dividend,2390,MISSING,0,,
dividend,2404,MISSING,0,,
