ticker,name_short,sector,n_matches,n_articles,n_weeks_nonzero,first_match,last_match,share_code_match,share_weekend
1213,大飲,食品,91,91,49,2017-08-10 22:12:56,2025-01-09 20:48:34,0.7582417582417582,0.14285714285714285
2611,志信,航運,90,90,49,2016-08-02 14:20:43,2024-09-20 17:42:39,0.6555555555555556,0.15555555555555556
3557,嘉威,居家生活,89,89,67,2015-05-21 16:09:13,2024-11-15 16:19:28,1.0,0.23595505617977527
2832,台產,金融,88,88,64,2015-05-18 13:57:03,2024-10-25 17:25:54,0.38636363636363635,0.20454545454545456
2901,欣欣,貿易百貨,87,87,64,2015-04-29 23:49:14,2024-11-09 21:11:47,0.05747126436781609,0.28735632183908044
2007,燁興,鋼鐵,86,86,48,2016-06-17 07:41:42,2025-01-15 20:18:33,0.5813953488372093,0.16279069767441862
2616,山隆,油電燃氣,86,86,69,2016-04-12 19:22:16,2025-01-01 23:13:31,0.6511627906976745,0.3372093023255814
3048,益登,電子通路,86,86,51,2015-05-15 15:29:35,2024-11-14 14:00:02,0.813953488372093,0.05813953488372093
9924,福興,居家生活,83,83,58,2015-05-13 16:21:08,2024-11-08 15:40:49,0.8433734939759037,0.12048192771084337
1717,長興,化學,83,83,65,2015-04-27 20:54:48,2024-09-27 11:33:34,0.7590361445783133,0.12048192771084337
1521,大億,汽車,82,82,68,2015-05-05 20:54:51,2024-11-01 23:40:35,0.7560975609756098,0.3780487804878049
1608,華榮,電器電纜,80,80,47,2015-07-20 16:06:39,2024-08-07 14:48:12,0.6625,0.075
1731,美吾華,生技,78,78,57,2015-06-17 13:20:04,2025-01-06 11:09:34,0.7435897435897436,0.20512820512820512
1762,中化生,生技,78,78,52,2015-05-14 15:55:35,2024-07-30 10:47:04,0.6410256410256411,0.11538461538461539
3010,華立,電子通路,76,76,54,2016-03-23 22:23:15,2025-01-08 22:57:25,0.7105263157894737,0.14473684210526316
1533,車王電,汽車,76,76,48,2015-05-14 15:55:35,2023-12-05 12:39:21,0.5657894736842105,0.11842105263157894
6112,邁達特,資訊服務,75,75,48,2015-04-27 16:57:02,2025-01-13 23:08:19,0.6666666666666666,0.21333333333333335
8464,億豐,居家生活,73,73,66,2015-10-05 08:33:50,2024-10-20 13:23:38,0.589041095890411,0.2465753424657534
1103,嘉泥,水泥,70,70,52,2016-06-10 14:38:54,2025-01-07 10:57:24,0.6,0.24285714285714285
2062,橋椿,居家生活,70,70,55,2015-05-07 18:09:30,2024-12-16 14:00:02,0.9,0.15714285714285714
1307,三芳,塑膠,70,70,53,2015-04-27 20:29:51,2025-01-23 23:15:14,0.8,0.2857142857142857
3055,蔚華科,電子通路,70,70,44,2015-05-13 18:15:29,2025-01-15 10:59:41,0.7285714285714285,0.15714285714285714
1598,岱宇,運動休閒,67,67,48,2016-11-03 16:40:59,2024-05-02 14:00:23,0.7910447761194029,0.31343283582089554
1906,寶隆,造紙,66,66,45,2015-05-08 22:53:05,2024-10-07 14:12:34,0.7878787878787878,0.015151515151515152
2426,鼎元,光電,65,65,45,2015-05-10 13:16:53,2024-12-06 22:25:42,0.5846153846153846,0.1076923076923077
