ticker,month,n_matches
1303,2024-04,1
1303,2024-05,11
1303,2024-06,12
1303,2024-07,6
1303,2024-08,1
1303,2024-09,2
1303,2024-10,1
1303,2024-11,2
1303,2024-12,16
1303,2025-01,5
1304,2015-06,2
1304,2015-07,2
1304,2015-08,2
1304,2015-09,1
1304,2015-10,1
1304,2015-11,2
1304,2016-01,1
1304,2016-02,6
1304,2016-03,5
1304,2016-04,3
1304,2016-08,2
1304,2016-09,1
1304,2016-10,1
1304,2016-11,1
1304,2017-01,1
1304,2017-03,1
1304,2017-08,1
1304,2017-09,1
1304,2017-11,1
1304,2017-12,1
1304,2018-06,2
1304,2018-08,3
1304,2018-09,2
1304,2018-10,1
1304,2018-11,1
1304,2019-05,3
1304,2019-06,1
1304,2019-08,2
1304,2019-09,3
1304,2019-11,1
1304,2019-12,4
1304,2020-03,2
1304,2020-08,1
1304,2020-09,5
1304,2020-10,1
1304,2020-12,1
1304,2021-01,2
1304,2021-03,5
1304,2021-04,17
1304,2021-05,19
1304,2021-06,10
1304,2021-07,10
1304,2021-08,4
1304,2021-09,19
1304,2021-10,18
1304,2021-11,7
1304,2021-12,2
1304,2022-01,3
1304,2022-02,1
1304,2022-03,3
1304,2022-07,6
1304,2022-08,1
1304,2022-09,2
1304,2022-10,2
1304,2022-11,4
1304,2022-12,7
1304,2023-01,3
1304,2023-03,4
1304,2023-06,1
1304,2023-07,1
1304,2023-10,1
1304,2024-03,2
1304,2024-04,2
1304,2024-06,1
1304,2024-07,1
1304,2024-12,2
1304,2025-01,5
1305,2015-05,1
1305,2015-06,2
1305,2015-07,3
1305,2015-08,4
1305,2015-09,5
1305,2015-10,8
1305,2015-11,6
1305,2015-12,9
1305,2016-01,4
1305,2016-02,2
1305,2016-03,5
1305,2016-04,1
1305,2016-05,2
1305,2016-06,2
1305,2016-07,4
1305,2016-08,2
1305,2016-09,6
1305,2016-10,10
1305,2016-11,2
1305,2016-12,1
1305,2017-01,1
1305,2017-02,2
1305,2017-03,1
1305,2017-04,2
1305,2017-05,2
1305,2017-06,2
1305,2017-07,2
1305,2017-08,3
1305,2017-09,1
1305,2017-10,3
1305,2017-11,3
1305,2017-12,2
1305,2018-01,2
1305,2018-03,2
1305,2018-04,1
1305,2018-05,2
1305,2018-06,1
1305,2018-07,2
1305,2018-08,3
1305,2018-09,2
1305,2018-10,1
1305,2018-12,5
1305,2019-01,2
1305,2019-02,1
1305,2019-03,1
1305,2019-04,1
1305,2019-05,4
1305,2019-06,1
1305,2019-07,1
1305,2019-10,2
1305,2019-11,2
1305,2020-01,2
1305,2020-03,1
1305,2020-05,1
1305,2020-06,2
1305,2020-09,1
1305,2020-10,1
1305,2020-11,1
1305,2021-01,1
1305,2021-03,6
1305,2021-04,12
1305,2021-05,11
1305,2021-06,4
1305,2021-07,3
1305,2021-08,3
1305,2021-09,18
1305,2021-10,9
1305,2021-11,3
1305,2022-02,1
1305,2022-03,2
1305,2022-07,1
1305,2022-08,1
1305,2022-09,3
1305,2022-10,2
1305,2022-12,6
1305,2023-01,2
1305,2023-02,2
1305,2023-03,1
1305,2023-07,1
1305,2023-10,1
1305,2024-02,1
1305,2024-03,1
1305,2024-04,2
1305,2024-05,1
1305,2024-07,1
1305,2024-10,1
1305,2024-12,7
1305,2025-01,1
1307,2015-04,2
1307,2015-05,2
1307,2015-06,2
1307,2015-08,2
1307,2015-09,1
1307,2015-10,1
1307,2016-02,1
1307,2016-03,3
1307,2016-11,1
1307,2017-04,2
1307,2017-05,5
1307,2017-06,4
1307,2017-07,5
1307,2017-08,5
1307,2017-09,4
1307,2018-07,1
1307,2019-04,1
1307,2020-04,1
1307,2020-05,7
1307,2020-09,1
1307,2020-11,1
1307,2022-04,1
1307,2022-10,1
1307,2022-11,1
1307,2023-03,1
1307,2023-07,1
1307,2024-01,1
1307,2024-04,2
1307,2024-09,1
1307,2024-10,5
1307,2024-11,3
1307,2025-01,1
1308,2015-04,1
1308,2015-05,3
1308,2015-07,4
1308,2015-08,3
1308,2015-09,1
1308,2015-10,1
1308,2016-01,1
1308,2016-02,1
1308,2016-03,3
1308,2016-04,1
1308,2016-08,1
1308,2016-09,1
1308,2017-01,1
1308,2017-02,1
1308,2017-08,1
1308,2017-11,1
1308,2018-06,1
1308,2018-08,2
1308,2018-09,1
1308,2018-10,1
1308,2018-11,1
1308,2018-12,1
1308,2019-02,1
1308,2019-04,1
1308,2019-11,1
1308,2020-01,1
1308,2020-03,1
1308,2020-04,1
1308,2020-05,1
1308,2020-07,1
1308,2020-09,4
1308,2020-10,1
1308,2020-11,1
1308,2021-03,1
1308,2021-04,4
1308,2021-05,8
1308,2021-06,6
1308,2021-07,5
1308,2021-08,2
1308,2021-09,22
1308,2021-10,13
1308,2021-11,4
1308,2021-12,2
1308,2022-01,2
1308,2022-02,1
1308,2022-03,2
1308,2022-05,2
1308,2022-06,1
1308,2022-07,1
1308,2022-08,1
1308,2022-09,1
1308,2022-11,2
1308,2022-12,2
1308,2024-02,1
1308,2024-03,2
1308,2024-07,1
1308,2024-10,1
1308,2024-11,3
1309,2015-05,2
1309,2015-08,1
1309,2015-09,1
1309,2016-03,1
1309,2016-05,1
1309,2016-10,1
1309,2017-02,1
1309,2017-03,1
1309,2017-10,2
1309,2017-12,1
1309,2018-01,2
1309,2018-02,2
1309,2018-03,3
1309,2018-05,2
1309,2018-06,1
1309,2018-07,1
1309,2018-08,1
1309,2018-10,1
1309,2018-12,1
1309,2019-01,1
1309,2019-04,1
1309,2019-05,1
1309,2019-09,1
1309,2020-02,1
1309,2020-06,3
1309,2020-08,4
1309,2020-09,7
1309,2020-10,2
1309,2020-11,3
1309,2020-12,3
1309,2021-03,8
1309,2021-04,12
1309,2021-05,7
1309,2021-07,3
1309,2021-08,7
1309,2021-09,3
1309,2021-11,1
1309,2022-02,1
1309,2022-03,2
1309,2022-04,1
1309,2022-07,1
1309,2022-09,2
1309,2022-10,1
1309,2022-11,3
1309,2022-12,1
1309,2023-07,1
1309,2023-10,1
1309,2023-12,1
1309,2024-04,2
1309,2024-06,2
1309,2024-07,1
1309,2024-09,2
1309,2024-10,1
1309,2024-12,3
1310,2015-05,10
1310,2015-06,2
1310,2015-07,1
1310,2015-08,3
1310,2015-09,1
1310,2015-12,8
1310,2016-01,6
1310,2016-02,10
1310,2016-03,12
1310,2016-04,4
1310,2016-05,2
1310,2016-06,3
1310,2016-07,5
1310,2016-08,4
1310,2016-09,1
1310,2016-10,1
1310,2016-11,1
1310,2016-12,2
1310,2017-01,1
1310,2017-02,5
1310,2017-03,6
1310,2017-04,2
1310,2017-05,1
1310,2017-06,4
1310,2017-07,1
1310,2017-08,1
1310,2017-11,1
1310,2017-12,2
1310,2018-03,2
1310,2018-04,1
1310,2018-05,3
1310,2018-06,1
1310,2018-08,2
1310,2018-09,5
1310,2018-10,3
1310,2018-11,4
1310,2018-12,10
1310,2019-01,5
1310,2019-03,2
1310,2019-04,1
1310,2019-05,6
1310,2019-07,4
1310,2019-11,1
1310,2019-12,1
1310,2020-04,1
1310,2020-07,1
1310,2020-08,1
1310,2020-09,2
1310,2020-11,1
1310,2020-12,2
1310,2021-03,1
1310,2021-04,1
1310,2021-05,1
1310,2021-06,5
1310,2021-07,2
1310,2021-08,1
1310,2021-09,1
1310,2021-10,1
1310,2021-11,8
1310,2022-05,1
1310,2023-01,1
1310,2023-05,1
1310,2023-07,1
1310,2023-10,1
1310,2024-04,1
1310,2024-05,1
1310,2024-06,1
1310,2024-12,1
1310,2025-01,1
1312,2015-04,1
1312,2015-05,10
1312,2015-06,11
1312,2015-07,7
1312,2015-08,4
1312,2015-09,8
1312,2015-10,6
1312,2015-12,11
1312,2016-01,10
1312,2016-02,9
1312,2016-03,15
1312,2016-04,5
1312,2016-05,5
1312,2016-06,3
1312,2016-07,6
1312,2016-08,2
1312,2016-09,2
1312,2016-10,10
1312,2016-11,2
1312,2016-12,3
1312,2017-02,4
1312,2017-03,2
1312,2017-04,5
1312,2017-05,4
1312,2017-06,1
1312,2017-07,2
1312,2017-08,2
1312,2017-09,5
1312,2017-10,3
1312,2017-11,4
1312,2017-12,6
1312,2018-03,2
1312,2018-04,4
1312,2018-05,3
1312,2018-08,4
1312,2018-10,1
1312,2018-11,4
1312,2018-12,5
1312,2019-01,4
1312,2019-02,2
1312,2019-04,7
1312,2019-05,4
1312,2019-09,2
1312,2019-11,1
1312,2019-12,1
1312,2020-01,1
1312,2020-02,1
1312,2020-03,1
1312,2020-04,2
1312,2020-05,1
1312,2020-08,3
1312,2020-09,4
1312,2020-11,2
1312,2020-12,7
1312,2021-01,1
1312,2021-02,4
1312,2021-03,5
1312,2021-04,4
1312,2021-05,3
1312,2021-06,7
1312,2021-07,2
1312,2021-08,5
1312,2021-10,1
1312,2021-11,1
1312,2021-12,1
1312,2022-01,1
1312,2022-02,1
1312,2022-03,4
1312,2022-08,1
1312,2022-10,2
1312,2023-03,3
1312,2023-04,3
1312,2023-05,6
1312,2023-06,1
1312,2023-08,1
1312,2023-11,1
1312,2023-12,2
1312,2024-01,1
1312,2024-04,5
1312,2024-05,1
1312,2024-07,1
1312,2024-08,1
1312,2024-09,1
1312,2025-01,1
1313,2015-06,1
1313,2015-08,1
1313,2016-06,1
1313,2016-10,1
1313,2016-11,2
1313,2017-02,1
1313,2017-11,3
1313,2017-12,1
1313,2018-01,1
1313,2018-03,1
1313,2018-04,2
1313,2018-05,6
1313,2018-08,5
1313,2018-09,2
1313,2018-10,1
1313,2018-12,1
1313,2019-01,1
1313,2019-11,1
1313,2020-05,2
1313,2020-08,1
1313,2020-10,2
1313,2020-12,2
1313,2021-01,1
1313,2021-02,1
1313,2021-04,7
1313,2021-05,7
1313,2021-06,5
1313,2021-07,3
1313,2021-08,3
1313,2021-09,3
1313,2021-10,2
1313,2021-11,2
1313,2022-01,2
1313,2022-03,3
1313,2022-05,4
1313,2022-08,1
1313,2022-09,2
1313,2023-03,1
1313,2023-04,1
1313,2023-08,1
1313,2023-10,1
1313,2023-12,1
1313,2024-04,1
1313,2024-07,1
1313,2024-12,1
1319,2015-04,1
1319,2015-06,4
1319,2015-07,3
1319,2015-08,3
1319,2015-09,4
1319,2015-10,9
1319,2015-11,8
1319,2015-12,7
1319,2016-01,7
1319,2016-02,8
1319,2016-03,11
1319,2016-04,4
1319,2016-05,3
1319,2016-06,7
1319,2016-07,3
1319,2016-08,2
1319,2016-09,2
1319,2016-10,3
1319,2016-11,2
1319,2016-12,3
1319,2017-01,2
1319,2017-03,1
1319,2017-05,1
1319,2017-06,5
1319,2017-07,1
1319,2017-08,3
1319,2017-09,3
1319,2017-10,3
1319,2017-11,2
1319,2017-12,3
1319,2018-01,3
1319,2018-02,2
1319,2018-03,3
1319,2018-04,1
1319,2018-05,2
1319,2018-06,1
1319,2018-07,1
1319,2018-08,1
1319,2018-10,1
1319,2018-11,1
1319,2018-12,2
1319,2019-03,1
1319,2019-04,1
1319,2019-05,1
1319,2019-06,2
1319,2019-07,3
1319,2019-09,1
1319,2020-03,2
1319,2020-07,1
1319,2020-09,6
1319,2020-10,1
1319,2020-12,3
1319,2021-01,4
1319,2021-04,1
1319,2021-06,5
1319,2021-09,2
1319,2022-05,6
1319,2022-06,10
1319,2022-07,8
1319,2022-08,4
1319,2022-09,3
1319,2022-10,1
1319,2022-11,1
1319,2022-12,2
1319,2023-01,4
1319,2023-03,1
1319,2023-07,1
1319,2023-08,7
1319,2023-09,4
1319,2023-10,5
1319,2023-11,3
1319,2023-12,6
1319,2024-01,8
1319,2024-03,11
1319,2024-04,1
1319,2024-05,2
1319,2024-06,6
1319,2024-08,2
1319,2024-09,3
1319,2024-10,2
1319,2024-11,1
1319,2025-01,1
1338,2015-05,2
1338,2015-06,1
1338,2015-07,1
1338,2015-08,1
1338,2015-09,3
1338,2015-10,6
1338,2015-11,4
1338,2015-12,5
1338,2016-01,2
1338,2016-02,3
1338,2016-03,1
1338,2016-04,2
1338,2016-05,3
1338,2016-06,2
1338,2016-11,1
1338,2018-11,1
1338,2018-12,1
1338,2019-02,1
1338,2020-01,1
1338,2021-01,1
1338,2021-09,1
1338,2022-01,1
1338,2024-01,1
1338,2024-03,1
1339,2015-09,1
1339,2015-10,1
1339,2015-11,2
1339,2015-12,1
1339,2016-03,2
1339,2016-04,2
1339,2016-05,2
1339,2016-06,1
1339,2016-07,2
1339,2016-08,1
1339,2016-11,1
1339,2016-12,2
1339,2017-04,2
1339,2017-09,3
1339,2018-05,1
1339,2018-06,1
1339,2018-08,1
1339,2018-09,1
1339,2019-04,1
